Student_ID,Debtor,Tuition fees up to date,1st_sem_enrolled,1st_sem_evaluations,1st_sem_approved,1st_sem_grade,1st_sem_without_evaluations,1st_sem_failed,1st_sem_pass_rate,2nd_sem_enrolled,2nd_sem_evaluations,2nd_sem_approved,2nd_sem_grade,2nd_sem_without_evaluations,2nd_sem_failed,2nd_sem_pass_rate,total_failed,avg_grade,WarningLevel
1,0,1,5,5,1,5.4,0,4,0.2,7,5,0,0.0,2,5,0.0,9,2.7,HIGH
2,0,1,5,5,4,8.47,0,1,0.8,7,7,6,9.12,0,1,0.8571,2,8.79,LOW
3,1,0,6,4,1,5.54,2,3,0.25,5,5,3,4.65,0,2,0.6,5,5.1,HIGH
4,0,1,6,6,5,8.19,0,1,0.8333,5,5,5,9.69,0,0,1.0,1,8.94,LOW
5,0,1,7,7,3,4.15,0,4,0.4286,6,4,2,5.68,2,2,0.5,6,4.92,HIGH
6,0,1,7,7,6,7.87,0,1,0.8571,5,5,4,6.53,0,1,0.8,2,7.2,LOW
7,0,1,6,6,5,9.34,0,1,0.8333,7,7,6,9.22,0,1,0.8571,2,9.28,LOW
8,0,1,7,7,6,8.33,0,1,0.8571,6,6,6,9.98,0,0,1.0,1,9.16,LOW
9,0,1,5,5,0,0.0,0,5,0.0,6,5,2,4.13,1,3,0.4,8,2.06,HIGH
10,0,1,6,6,6,9.77,0,0,1.0,7,7,7,8.29,0,0,1.0,0,9.03,LOW
11,0,1,7,7,7,9.49,0,0,1.0,6,6,6,8.72,0,0,1.0,0,9.11,LOW
12,1,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0.0,HIGH
13,0,1,5,5,5,6.3,0,0,1.0,7,6,6,6.12,1,0,1.0,0,6.21,LOW
14,1,1,7,7,7,7.37,0,0,1.0,7,6,6,6.65,1,0,1.0,0,7.01,MEDIUM
15,1,1,7,6,6,7.45,1,0,1.0,7,7,7,6.57,0,0,1.0,0,7.01,MEDIUM
16,0,1,5,5,4,9.2,0,1,0.8,6,6,5,8.22,0,1,0.8333,2,8.71,LOW
17,0,1,5,5,5,7.8,0,0,1.0,5,4,2,7.86,1,2,0.5,2,7.83,MEDIUM
18,0,1,6,6,5,8.53,0,1,0.8333,7,7,7,9.93,0,0,1.0,1,9.23,LOW
19,1,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0.0,HIGH
20,1,1,6,4,1,4.23,2,3,0.25,5,5,2,4.04,0,3,0.4,6,4.13,HIGH
21,0,1,7,7,5,6.13,0,2,0.7143,5,4,2,6.98,1,2,0.5,4,6.55,MEDIUM
22,0,0,7,5,3,4.46,2,2,0.6,6,5,1,4.18,1,4,0.2,6,4.32,HIGH
23,1,0,7,7,7,7.24,0,0,1.0,7,7,5,6.76,0,2,0.7143,2,7.0,MEDIUM
24,0,0,5,5,3,4.27,0,2,0.6,5,4,1,4.47,1,3,0.25,5,4.37,HIGH
25,0,1,7,7,5,7.76,0,2,0.7143,5,5,4,6.92,0,1,0.8,3,7.34,MEDIUM
26,1,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0.0,HIGH
27,0,1,5,5,5,8.53,0,0,1.0,6,6,6,8.85,0,0,1.0,0,8.69,LOW
28,1,0,4,0,0,0.0,4,0,0.0,4,0,0,0.0,4,0,0.0,0,0.0,HIGH
29,0,1,7,6,4,6.1,1,2,0.6667,6,6,4,7.83,0,2,0.6667,4,6.96,MEDIUM
30,1,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0.0,HIGH
31,0,0,5,5,5,7.13,0,0,1.0,7,7,6,7.25,0,1,0.8571,1,7.19,LOW
32,1,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0.0,HIGH
33,1,0,6,5,1,5.28,1,4,0.2,6,5,2,5.77,1,3,0.4,7,5.53,HIGH
34,0,1,7,7,6,8.15,0,1,0.8571,5,5,5,8.26,0,0,1.0,1,8.21,LOW
35,0,1,6,5,3,6.83,1,2,0.6,7,6,6,7.87,1,0,1.0,2,7.35,LOW
36,1,0,5,4,0,0.0,1,4,0.0,5,3,0,0.0,2,3,0.0,7,0.0,HIGH
37,0,1,5,4,4,6.93,1,0,1.0,5,5,5,6.8,0,0,1.0,0,6.87,LOW
38,0,1,6,6,5,9.27,0,1,0.8333,6,6,5,9.48,0,1,0.8333,2,9.38,LOW
39,1,1,5,5,5,7.72,0,0,1.0,7,7,6,7.11,0,1,0.8571,1,7.42,MEDIUM
