Debtor,Tuition fees up to date,1st_sem_enrolled,1st_sem_evaluations,1st_sem_approved,1st_sem_grade,1st_sem_without_evaluations,1st_sem_failed,1st_sem_pass_rate,2nd_sem_enrolled,2nd_sem_evaluations,2nd_sem_approved,2nd_sem_grade,2nd_sem_without_evaluations,2nd_sem_failed,2nd_sem_pass_rate,total_failed,avg_grade,Target
0,1,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0.0,Dropout
0,0,6,6,6,7.0,0,0,1.0,6,6,6,0.0,0,0,1.0,0,3.5,Graduate
0,0,6,0,0,0.0,0,0,0.0,6,0,0,0.0,0,0,0.0,0,0.0,Dropout
0,1,6,8,6,6.714285714285714,0,2,0.75,6,10,5,0.0,0,5,0.5,7,3.3571,Graduate
0,1,6,9,5,6.166666666666667,0,4,0.5556,6,6,6,0.0,0,0,1.0,4,3.0833,Graduate
1,1,5,10,5,5.928571428571429,0,5,0.5,5,17,5,0.0,5,12,0.2941,17,2.9643,Graduate
0,1,7,9,7,6.65,0,2,0.7778,8,8,8,0.0,0,0,1.0,2,3.325,Graduate
0,0,5,5,0,0.0,0,5,0.0,5,5,0,0.0,0,5,0.0,10,0.0,Dropout
0,1,6,8,6,6.9375,0,2,0.75,6,7,6,0.0,0,1,0.8571,3,3.4688,Graduate
1,0,6,9,5,5.7,0,4,0.5556,6,14,2,0.0,0,12,0.1429,16,2.85,Dropout
0,1,6,6,6,6.166666666666667,0,0,1.0,6,7,5,0.0,0,2,0.7143,2,3.0833,Graduate
0,1,8,8,7,6.607142857142857,0,1,0.875,8,8,7,0.0,0,1,0.875,2,3.3036,Graduate
0,1,6,6,0,0.0,0,6,0.0,6,0,0,0.0,0,0,0.0,6,0.0,Dropout
0,1,6,7,6,5.285714285714286,0,1,0.8571,6,8,5,0.0,0,3,0.625,4,2.6429,Graduate
0,1,5,7,4,6.625,0,3,0.5714,5,5,5,0.0,0,0,1.0,3,3.3125,Graduate
0,1,6,6,5,6.6,0,1,0.8333,6,7,0,0.0,0,7,0.0,8,3.3,Dropout
0,1,6,10,1,6.0,0,9,0.1,6,14,2,0.0,0,12,0.1429,21,3.0,Enrolled
0,1,7,8,7,6.653125,0,1,0.875,8,8,8,0.0,0,0,1.0,1,3.3266,Graduate
0,1,5,8,4,6.25,1,4,0.5,5,8,4,0.0,2,4,0.5,8,3.125,Graduate
0,1,7,7,6,5.833333333333333,0,1,0.8571,7,8,6,0.0,0,2,0.75,3,2.9167,Enrolled
0,1,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0.0,Graduate
0,1,7,14,7,5.71875,0,7,0.5,8,9,8,0.0,0,1,0.8889,8,2.8594,Enrolled
0,1,8,12,7,6.428571428571429,0,5,0.5833,8,12,7,0.0,0,5,0.5833,10,3.2143,Graduate
0,1,6,8,6,6.6875,0,2,0.75,6,7,6,0.0,0,1,0.8571,3,3.3438,Graduate
0,1,7,8,6,6.648333333333334,0,2,0.75,8,9,7,0.0,0,2,0.7778,4,3.3242,Graduate
1,1,6,8,5,5.8,0,3,0.625,6,12,4,0.0,0,8,0.3333,11,2.9,Enrolled
0,1,6,9,6,5.6875,0,3,0.6667,6,9,6,0.0,0,3,0.6667,6,2.8438,Graduate
0,1,5,9,5,6.333333333333333,2,4,0.5556,5,7,4,0.0,0,3,0.5714,7,3.1667,Enrolled
0,1,5,6,5,6.0,0,1,0.8333,5,6,5,0.0,0,1,0.8333,2,3.0,Graduate
0,1,7,9,6,6.466666666666666,0,3,0.6667,7,7,6,0.0,0,1,0.8571,4,3.2333,Enrolled
0,1,6,15,5,5.928571428571429,0,10,0.3333,6,17,5,0.0,0,12,0.2941,22,2.9643,Enrolled
0,1,6,7,6,6.416666666666667,0,1,0.8571,6,9,4,0.0,0,5,0.4444,6,3.2083,Graduate
0,0,5,9,3,5.666666666666667,0,6,0.3333,5,8,2,0.0,0,6,0.25,12,2.8333,Enrolled
0,1,6,6,6,6.333333333333333,0,0,1.0,6,8,6,0.0,0,2,0.75,2,3.1667,Graduate
0,1,5,6,5,6.2,0,1,0.8333,5,9,5,0.0,0,4,0.5556,5,3.1,Graduate
1,0,7,7,0,0.0,0,7,0.0,7,7,1,0.0,0,6,0.1429,13,0.0,Dropout
0,1,5,0,0,0.0,0,0,0.0,5,0,0,0.0,0,0,0.0,0,0.0,Dropout
0,1,5,10,1,5.0,0,9,0.1,5,8,2,0.0,2,6,0.25,15,2.5,Dropout
0,1,5,8,5,5.5,0,3,0.625,5,5,5,0.0,0,0,1.0,3,2.75,Graduate
1,0,6,13,3,5.833333333333333,0,10,0.2308,6,11,3,0.0,0,8,0.2727,18,2.9167,Dropout
1,1,6,6,4,6.375,0,2,0.6667,5,5,0,0.0,0,5,0.0,7,3.1875,Dropout
0,1,5,5,5,7.4,0,0,1.0,5,5,5,0.0,0,0,1.0,0,3.7,Graduate
0,1,7,9,5,6.964,0,4,0.5556,8,9,7,0.0,0,2,0.7778,6,3.482,Graduate
0,0,6,7,4,6.5,0,3,0.5714,6,7,5,0.0,0,2,0.7143,5,3.25,Dropout
0,1,5,0,0,0.0,0,0,0.0,5,0,0,0.0,0,0,0.0,0,0.0,Dropout
0,1,5,9,2,5.75,0,7,0.2222,5,11,3,0.0,1,8,0.2727,15,2.875,Enrolled
0,1,6,6,6,5.833333333333333,0,0,1.0,6,8,5,0.0,0,3,0.625,3,2.9167,Graduate
0,1,7,8,6,6.758333333333333,0,2,0.75,8,9,7,0.0,0,2,0.7778,4,3.3792,Graduate
0,1,6,6,6,5.75,0,0,1.0,6,7,6,0.0,0,1,0.8571,1,2.875,Graduate
0,1,6,7,5,6.166666666666667,0,2,0.7143,6,7,6,0.0,0,1,0.8571,3,3.0833,Graduate
0,1,6,6,6,6.833333333333333,0,0,1.0,6,6,6,0.0,0,0,1.0,0,3.4167,Graduate
0,1,8,10,6,5.916666666666667,0,4,0.6,8,10,6,0.0,0,4,0.6,8,2.9583,Enrolled
0,1,6,11,4,7.0,0,7,0.3636,6,12,3,0.0,0,9,0.25,16,3.5,Enrolled
0,1,5,7,5,7.357142857142857,0,2,0.7143,5,5,5,0.0,0,0,1.0,2,3.6786,Graduate
0,1,5,12,5,5.3,0,7,0.4167,5,10,5,0.0,0,5,0.5,12,2.65,Dropout
0,1,7,9,7,6.522222222222222,0,2,0.7778,8,10,8,0.0,0,2,0.8,4,3.2611,Graduate
0,1,6,10,0,0.0,0,10,0.0,6,6,0,0.0,0,6,0.0,16,0.0,Dropout
0,1,6,9,5,6.5,0,4,0.5556,11,13,10,0.0,0,3,0.7692,7,3.25,Dropout
0,1,8,8,8,7.4675,0,0,1.0,8,8,8,0.0,0,0,1.0,0,3.7338,Graduate
0,1,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0.0,Enrolled
0,1,7,8,6,6.566666666666666,0,2,0.75,8,12,7,0.0,0,5,0.5833,7,3.2833,Graduate
0,1,6,7,6,6.0,0,1,0.8571,6,7,6,0.0,0,1,0.8571,2,3.0,Graduate
0,1,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0.0,Enrolled
0,1,6,6,5,5.7,0,1,0.8333,6,8,1,0.0,0,7,0.125,8,2.85,Enrolled
0,1,6,6,0,0.0,0,6,0.0,6,6,0,0.0,0,6,0.0,12,0.0,Enrolled
0,1,7,10,5,5.95,0,5,0.5,8,10,5,0.0,0,5,0.5,10,2.975,Dropout
0,1,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0.0,Graduate
0,1,6,8,6,6.285714285714286,0,2,0.75,6,7,6,0.0,0,1,0.8571,3,3.1429,Graduate
1,1,5,8,5,5.6,0,3,0.625,5,10,4,0.0,3,6,0.4,9,2.8,Dropout
0,1,6,7,6,6.0,0,1,0.8571,6,8,5,0.0,0,3,0.625,4,3.0,Enrolled
0,1,5,9,0,0.0,0,9,0.0,5,5,0,0.0,0,5,0.0,14,0.0,Enrolled
0,1,7,8,7,5.9875,0,1,0.875,8,8,8,0.0,0,0,1.0,1,2.9937,Graduate
0,1,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0.0,Dropout
0,1,6,12,3,5.833333333333333,0,9,0.25,6,12,1,0.0,0,11,0.0833,20,2.9167,Dropout
0,1,6,8,6,6.166666666666667,0,2,0.75,6,11,3,0.0,0,8,0.2727,10,3.0833,Graduate
1,1,5,8,3,5.166666666666667,0,5,0.375,5,11,3,0.0,0,8,0.2727,13,2.5833,Dropout
0,1,6,8,4,5.25,0,4,0.5,6,11,1,0.0,0,10,0.0909,14,2.625,Dropout
1,1,6,6,6,6.833333333333333,0,0,1.0,6,6,6,0.0,0,0,1.0,0,3.4167,Graduate
0,1,7,7,7,7.421428571428571,0,0,1.0,8,9,8,0.0,0,1,0.8889,1,3.7107,Graduate
0,1,6,8,6,6.0,0,2,0.75,6,6,6,0.0,0,0,1.0,2,3.0,Graduate
0,1,6,8,5,6.1,0,3,0.625,6,7,5,0.0,0,2,0.7143,5,3.05,Dropout
0,1,1,1,0,0.0,1,1,0.0,5,0,0,0.0,0,0,0.0,1,0.0,Dropout
1,1,12,17,6,6.083333333333333,0,11,0.3529,12,14,10,0.0,0,4,0.7143,15,3.0417,Dropout
0,1,5,6,5,6.0,0,1,0.8333,5,8,3,0.0,0,5,0.375,6,3.0,Enrolled
0,1,6,7,6,5.5,0,1,0.8571,6,11,5,0.0,0,6,0.4545,7,2.75,Graduate
0,1,8,8,7,6.54,0,1,0.875,8,8,7,0.0,0,1,0.875,2,3.27,Graduate
0,1,5,7,4,5.25,0,3,0.5714,5,7,5,0.0,0,2,0.7143,5,2.625,Graduate
0,1,6,9,6,5.333333333333333,1,3,0.6667,6,6,5,0.0,0,1,0.8333,4,2.6667,Graduate
0,1,5,6,4,7.0,0,2,0.6667,5,5,5,0.0,0,0,1.0,2,3.5,Enrolled
1,1,5,9,2,5.0,0,7,0.2222,5,9,0,0.0,0,9,0.0,16,2.5,Enrolled
0,1,7,18,0,0.0,0,18,0.0,7,7,0,0.0,0,7,0.0,25,0.0,Dropout
0,0,6,6,6,7.0,0,0,1.0,6,6,6,0.0,0,0,1.0,0,3.5,Graduate
0,1,6,7,2,6.0,1,5,0.2857,6,6,0,0.0,0,6,0.0,11,3.0,Dropout
0,1,6,12,3,6.333333333333333,0,9,0.25,6,14,0,0.0,1,14,0.0,23,3.1667,Dropout
0,1,8,11,8,5.9375,0,3,0.7273,6,7,6,0.0,0,1,0.8571,4,2.9688,Graduate
0,1,5,9,5,7.0,0,4,0.5556,5,11,3,0.0,0,8,0.2727,12,3.5,Enrolled
0,1,6,6,6,6.833333333333333,0,0,1.0,6,6,6,0.0,0,0,1.0,0,3.4167,Graduate
0,1,7,7,7,6.875,0,0,1.0,8,9,8,0.0,0,1,0.8889,1,3.4375,Graduate
0,1,5,7,5,7.1,2,2,0.7143,5,7,5,0.0,0,2,0.7143,4,3.55,Enrolled
