Debtor,Tuition fees up to date,1st_sem_enrolled,1st_sem_evaluations,1st_sem_approved,1st_sem_grade,1st_sem_without_evaluations,1st_sem_failed,1st_sem_pass_rate,2nd_sem_enrolled,2nd_sem_evaluations,2nd_sem_approved,2nd_sem_grade,2nd_sem_without_evaluations,2nd_sem_failed,2nd_sem_pass_rate,total_failed,avg_grade,Target,WarningScore,WarningLevel
0,1,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0.0,Dropout,1.0,HIGH
0,0,6,6,6,7.0,0,0,1.0,6,6,6,6.833333333333333,0,0,1.0,0,6.9167,Graduate,0.17399920000000002,MEDIUM
0,0,6,0,0,0.0,0,6,0.0,6,0,0,0.0,0,6,0.0,12,0.0,Dropout,0.7999999999999999,HIGH
0,1,6,8,6,6.714285714285714,0,0,0.75,6,10,5,6.2,0,1,0.5,1,6.4571,Graduate,0.2250296,MEDIUM
0,1,6,9,5,6.166666666666667,0,1,0.5556,6,6,6,6.5,0,0,1.0,1,6.3333,Graduate,0.1535528,LOW
1,1,5,10,5,5.928571428571429,0,0,0.5,5,17,5,5.75,5,0,0.2941,0,5.8393,Graduate,0.33750880000000005,MEDIUM
0,1,7,9,7,6.65,0,0,0.7778,8,8,8,7.1725,0,0,1.0,0,6.9113,Graduate,0.0919048,LOW
0,0,5,5,0,0.0,0,5,0.0,5,5,0,0.0,0,5,0.0,10,0.0,Dropout,0.7999999999999999,HIGH
0,1,6,8,6,6.9375,0,0,0.75,6,7,6,7.071428571428571,0,0,0.8571,0,7.0045,Graduate,0.103324,LOW
1,0,6,9,5,5.7,0,1,0.5556,6,14,2,6.75,0,4,0.1429,5,6.225,Dropout,0.5272600000000001,HIGH
0,1,6,6,6,6.166666666666667,0,0,1.0,6,7,5,7.1,0,1,0.7143,1,6.6333,Graduate,0.1907968,MEDIUM
0,1,8,8,7,6.607142857142857,0,1,0.875,8,8,7,6.607142857142857,0,1,0.875,2,6.6071,Graduate,0.1614296,LOW
0,1,6,6,0,0.0,0,6,0.0,6,0,0,0.0,0,6,0.0,12,0.0,Dropout,0.7,HIGH
0,1,6,7,6,5.285714285714286,0,0,0.8571,6,8,5,5.5,0,1,0.625,1,5.3929,Graduate,0.22842239999999997,MEDIUM
0,1,5,7,4,6.625,0,1,0.5714,5,5,5,6.0,0,0,1.0,1,6.3125,Graduate,0.15278799999999998,LOW
0,1,6,6,5,6.6,0,1,0.8333,6,7,0,0.0,0,6,0.0,7,3.3,Dropout,0.630796,HIGH
0,1,6,10,1,6.0,0,5,0.1,6,14,2,5.5,0,4,0.1429,9,5.75,Enrolled,0.512568,HIGH
0,1,7,8,7,6.653125,0,0,0.875,8,8,8,7.2725,0,0,1.0,0,6.9628,Graduate,0.08289279999999999,LOW
0,1,5,8,4,6.25,1,1,0.5,5,8,4,6.125,2,1,0.5,2,6.1875,Graduate,0.23149999999999998,MEDIUM
0,1,7,7,6,5.833333333333333,0,1,0.8571,7,8,6,6.75,0,1,0.75,2,6.2917,Enrolled,0.2018512,MEDIUM
0,1,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0.0,Graduate,1.0,HIGH
0,1,7,14,7,5.71875,0,0,0.5,8,9,8,5.7125,0,0,0.8889,0,5.7156,Enrolled,0.1517136,LOW
0,1,8,12,7,6.428571428571429,0,1,0.5833,8,12,7,6.428571428571429,0,1,0.5833,2,6.4286,Graduate,0.2123856,MEDIUM
0,1,6,8,6,6.6875,0,0,0.75,6,7,6,6.142857142857143,0,0,0.8571,0,6.4152,Graduate,0.11746720000000002,LOW
0,1,7,8,6,6.648333333333334,0,1,0.75,8,9,7,7.057142857142857,0,1,0.7778,2,6.8527,Graduate,0.1733112,MEDIUM
1,1,6,8,5,5.8,0,1,0.625,6,12,4,5.5,0,2,0.3333,3,5.65,Enrolled,0.436076,HIGH
0,1,6,9,6,5.6875,0,0,0.6667,6,9,6,6.642857142857143,0,0,0.6667,0,6.1652,Graduate,0.14536320000000003,LOW
0,1,5,9,5,6.333333333333333,2,0,0.5556,5,7,4,6.5,0,1,0.5714,1,6.4167,Enrolled,0.1858392,MEDIUM
