Debtor,Tuition fees up to date,1st_sem_enrolled,1st_sem_evaluations,1st_sem_approved,1st_sem_grade,1st_sem_without_evaluations,1st_sem_failed,1st_sem_pass_rate,2nd_sem_enrolled,2nd_sem_evaluations,2nd_sem_approved,2nd_sem_grade,2nd_sem_without_evaluations,2nd_sem_failed,2nd_sem_pass_rate,total_failed,avg_grade,Target
0,1,6,9,5,6.75,0,1,0.5556,6,6,6,7.0,0,0,1.0,1,6.875,Graduate
0,1,6,7,6,6.833333333333333,0,0,0.8571,6,7,6,6.083333333333333,1,0,0.8571,0,6.4583,Graduate
0,1,7,9,6,6.35,0,1,0.6667,8,8,7,6.785714285714286,0,1,0.875,2,6.5679,Graduate
0,1,6,6,6,6.583333333333333,0,0,1.0,6,6,6,6.916666666666667,0,0,1.0,0,6.75,Graduate
0,1,8,14,4,5.6625,1,4,0.2857,8,14,4,5.6625,1,4,0.2857,8,5.6625,Dropout
0,1,6,8,4,5.75,0,2,0.5,6,7,5,5.5,0,1,0.7143,3,5.625,Dropout
0,0,7,13,3,6.0,0,4,0.2308,7,15,1,6.5,1,6,0.0667,10,6.25,Dropout
1,1,5,14,1,8.5,0,4,0.0714,5,10,2,5.5,0,3,0.2,7,7.0,Enrolled
0,1,5,5,5,8.2,0,0,1.0,5,5,5,7.3,0,0,1.0,0,7.75,Graduate
0,0,5,7,3,5.333333333333333,0,2,0.4286,5,10,3,6.142857142857143,0,2,0.3,4,5.7381,Dropout
0,0,5,5,0,0.0,0,5,0.0,5,5,0,0.0,0,5,0.0,10,0.0,Dropout
0,1,6,8,6,7.416666666666667,0,0,0.75,6,10,5,6.916666666666667,0,1,0.5,1,7.1667,Graduate
0,1,6,7,6,5.5,0,0,0.8571,6,6,5,6.1,0,1,0.8333,1,5.8,Dropout
0,1,6,7,6,7.714285714285714,0,0,0.8571,6,7,6,6.75,0,0,0.8571,0,7.2321,Graduate
0,1,5,6,5,6.4,1,0,0.8333,5,7,4,5.625,0,1,0.5714,1,6.0125,Graduate
0,1,6,7,5,5.4,1,1,0.7143,6,6,0,0.0,0,6,0.0,7,2.7,Dropout
1,0,6,11,5,5.916666666666667,0,1,0.4545,6,11,4,5.75,0,2,0.3636,3,5.8333,Dropout
0,1,6,8,5,5.5,0,1,0.625,6,10,3,5.333333333333333,0,3,0.3,4,5.4167,Dropout
0,1,5,12,1,5.0,2,4,0.0833,5,5,0,0.0,0,5,0.0,9,2.5,Dropout
0,1,5,6,4,5.75,0,1,0.6667,5,5,4,5.375,0,1,0.8,2,5.5625,Graduate
0,1,5,7,2,5.0,0,3,0.2857,5,11,2,7.0,0,3,0.1818,6,6.0,Dropout
0,1,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0.0,Graduate
1,0,6,13,3,5.333333333333333,0,3,0.2308,6,6,4,6.125,0,2,0.6667,5,5.7292,Dropout
0,1,6,16,3,5.166666666666667,0,3,0.1875,6,16,1,5.5,0,5,0.0625,8,5.3333,Dropout
0,1,10,20,6,5.75,0,4,0.3,10,17,5,6.2,0,5,0.2941,9,5.975,Dropout
0,1,8,8,7,6.807142857142857,0,1,0.875,8,8,7,6.807142857142857,0,1,0.875,2,6.8071,Graduate
0,1,8,8,7,6.328571428571428,0,1,0.875,8,8,7,6.328571428571428,0,1,0.875,2,6.3286,Graduate
0,1,9,11,9,6.333333333333333,0,0,0.8182,7,7,7,6.071428571428571,0,0,1.0,0,6.2024,Graduate
