Debtor,Tuition fees up to date,1st_sem_enrolled,1st_sem_evaluations,1st_sem_approved,1st_sem_grade,1st_sem_without_evaluations,1st_sem_failed,1st_sem_pass_rate,2nd_sem_enrolled,2nd_sem_evaluations,2nd_sem_approved,2nd_sem_grade,2nd_sem_without_evaluations,2nd_sem_failed,2nd_sem_pass_rate,total_failed,avg_grade,Target,WarningScore,WarningLevel
0,1,6,9,5,6.75,0,4,0.5556,6,6,6,0.0,0,0,1.0,4,3.375,Graduate,0.31455199999999994,LOW
0,1,6,7,6,6.833333333333333,0,1,0.8571,6,7,6,0.0,1,1,0.8571,2,3.4167,Graduate,0.2408632,LOW
0,1,7,9,6,6.35,0,3,0.6667,8,8,7,0.0,0,1,0.875,4,3.175,Graduate,0.32046399999999997,LOW
0,1,6,6,6,6.583333333333333,0,0,1.0,6,6,6,0.0,0,0,1.0,0,3.2917,Graduate,0.1609992,LOW
0,1,8,14,4,5.6625,1,10,0.2857,8,14,4,0.0,1,10,0.2857,20,2.8312,Dropout,0.5863392,HIGH
0,1,6,8,4,5.75,0,4,0.5,6,7,5,0.0,0,2,0.7143,6,2.875,Dropout,0.413856,MEDIUM
0,0,7,13,3,6.0,0,10,0.2308,7,15,1,0.0,1,14,0.0667,24,3.0,Dropout,0.73702,HIGH
1,1,5,14,1,8.5,0,13,0.0714,5,10,2,0.0,0,8,0.2,21,4.25,Enrolled,0.676288,HIGH
0,1,5,5,5,8.2,0,0,1.0,5,5,5,0.0,0,0,1.0,0,4.1,Graduate,0.14160000000000003,LOW
0,0,5,7,3,5.333333333333333,0,4,0.4286,5,10,3,0.0,0,7,0.3,11,2.6667,Dropout,0.7034311999999999,HIGH
0,0,5,5,0,0.0,0,5,0.0,5,5,0,0.0,0,5,0.0,10,0.0,Dropout,0.7999999999999999,HIGH
0,1,6,8,6,7.416666666666667,0,2,0.75,6,10,5,0.0,0,5,0.5,7,3.7083,Graduate,0.4710008,MEDIUM
0,1,6,7,6,5.5,0,1,0.8571,6,6,5,0.0,0,1,0.8333,2,2.75,Dropout,0.263528,LOW
0,1,6,7,6,7.714285714285714,0,1,0.8571,6,7,6,0.0,0,1,0.8571,2,3.8571,Graduate,0.23029360000000004,LOW
0,1,5,6,5,6.4,1,1,0.8333,5,7,4,0.0,0,3,0.5714,4,3.2,Graduate,0.383204,MEDIUM
0,1,6,7,5,5.4,1,2,0.7143,6,6,0,0.0,0,6,0.0,8,2.7,Dropout,0.6609160000000001,HIGH
1,0,6,11,5,5.916666666666667,0,6,0.4545,6,11,4,0.0,0,7,0.3636,13,2.9583,Dropout,0.6817327999999999,HIGH
0,1,6,8,5,5.5,0,3,0.625,6,10,3,0.0,0,7,0.3,10,2.75,Dropout,0.625,HIGH
0,1,5,12,1,5.0,2,11,0.0833,5,5,0,0.0,0,5,0.0,16,2.5,Dropout,0.649996,HIGH
0,1,5,6,4,5.75,0,2,0.6667,5,5,4,0.0,0,1,0.8,3,2.875,Graduate,0.303664,LOW
0,1,5,7,2,5.0,0,5,0.2857,5,11,2,0.0,0,9,0.1818,14,2.5,Dropout,0.62338,HIGH
0,1,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0.0,Graduate,0.4,MEDIUM
1,0,6,13,3,5.333333333333333,0,10,0.2308,6,6,4,0.0,0,2,0.6667,12,2.6667,Dropout,0.6641992,HIGH
0,1,6,16,3,5.166666666666667,0,13,0.1875,6,16,1,0.0,0,15,0.0625,28,2.5833,Dropout,0.6430008,HIGH
0,1,10,20,6,5.75,0,14,0.3,10,17,5,0.0,0,12,0.2941,26,2.875,Dropout,0.584652,HIGH
0,1,8,8,7,6.807142857142857,0,1,0.875,8,8,7,0.0,0,1,0.875,2,3.4036,Graduate,0.2383136,LOW
0,1,8,8,7,6.328571428571428,0,1,0.875,8,8,7,0.0,0,1,0.875,2,3.1643,Graduate,0.24405680000000002,LOW
0,1,9,11,9,6.333333333333333,0,2,0.8182,7,7,7,0.0,0,0,1.0,2,3.1667,Graduate,0.2385432,LOW
0,1,6,16,5,6.9,0,11,0.3125,6,7,5,0.0,0,2,0.7143,13,3.45,Enrolled,0.535056,MEDIUM
0,1,6,6,5,6.0,0,1,0.8333,6,6,6,0.0,0,0,1.0,1,3.0,Graduate,0.21133600000000002,LOW
0,1,6,14,4,5.75,0,10,0.2857,6,17,3,0.0,0,14,0.1765,24,2.875,Enrolled,0.615864,HIGH
0,1,6,9,6,5.583333333333333,0,3,0.6667,6,11,5,0.0,0,6,0.4545,9,2.7917,Graduate,0.5557432,MEDIUM
0,1,6,8,6,6.5625,0,2,0.75,6,10,6,0.0,0,4,0.6,6,3.2812,Graduate,0.4232512,MEDIUM
0,1,5,5,0,0.0,0,5,0.0,5,0,0,0.0,0,0,0.0,5,0.0,Dropout,0.55,MEDIUM
0,1,6,6,4,6.625,0,2,0.6667,6,6,0,0.0,0,6,0.0,8,3.3125,Enrolled,0.640504,HIGH
0,1,6,8,6,6.083333333333333,0,2,0.75,6,7,5,0.0,0,2,0.7143,4,3.0417,Graduate,0.3369952,MEDIUM
0,1,6,8,5,6.0,0,3,0.625,6,8,5,0.0,0,3,0.625,6,3.0,Graduate,0.40800000000000003,MEDIUM
0,0,5,5,0,0.0,0,5,0.0,5,5,0,0.0,0,5,0.0,10,0.0,Dropout,0.7999999999999999,HIGH
0,1,5,9,4,5.1,0,5,0.4444,5,6,3,0.0,0,3,0.5,8,2.55,Enrolled,0.503248,MEDIUM
1,1,8,8,7,6.571428571428571,0,1,0.875,6,8,6,0.0,0,2,0.75,3,3.2857,Enrolled,0.40614320000000004,MEDIUM
0,1,6,6,6,6.75,0,0,1.0,6,9,6,0.0,0,3,0.6667,3,3.375,Graduate,0.342324,MEDIUM
0,1,6,6,6,5.666666666666667,0,0,1.0,6,8,5,0.0,0,3,0.625,3,2.8333,Graduate,0.36700079999999996,MEDIUM
0,1,6,8,6,5.833333333333333,0,2,0.75,6,6,6,0.0,0,0,1.0,2,2.9167,Graduate,0.2499992,LOW
0,1,6,8,6,6.5,1,2,0.75,6,9,5,0.0,0,4,0.5556,6,3.25,Graduate,0.43643200000000004,MEDIUM
0,1,7,15,7,5.785714285714286,0,8,0.4667,6,14,2,0.0,0,12,0.1429,20,2.8929,Dropout,0.6465624000000001,HIGH
0,1,6,0,0,0.0,0,0,0.0,6,0,0,0.0,0,0,0.0,0,0.0,Dropout,0.4,MEDIUM
0,1,7,7,7,6.72142857142857,0,0,1.0,8,8,7,0.0,0,1,0.875,1,3.3607,Dropout,0.22434320000000002,LOW
0,1,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0.0,Enrolled,0.4,MEDIUM
0,1,6,8,6,5.916666666666667,0,2,0.75,6,11,3,0.0,0,8,0.2727,10,2.9583,Graduate,0.6426448,HIGH
0,1,7,0,0,0.0,0,0,0.0,8,0,0,0.0,0,0,0.0,0,0.0,Dropout,0.4,MEDIUM
1,1,6,6,6,6.5,0,0,1.0,6,7,5,0.0,0,2,0.7143,2,3.25,Dropout,0.401996,MEDIUM
0,1,6,6,0,0.0,0,6,0.0,5,5,0,0.0,0,5,0.0,11,0.0,Dropout,0.7,HIGH
0,0,6,10,5,6.6,0,5,0.5,6,21,3,0.0,0,18,0.1429,23,3.3,Enrolled,0.740788,HIGH
0,1,5,9,4,5.625,0,5,0.4444,5,6,4,0.0,0,2,0.6667,7,2.8125,Graduate,0.453612,MEDIUM
0,1,6,8,5,6.5,0,3,0.625,6,7,5,0.0,0,2,0.7143,5,3.25,Enrolled,0.36485599999999996,MEDIUM
0,1,5,6,5,7.3,0,1,0.8333,5,5,5,0.0,0,0,1.0,1,3.65,Dropout,0.19573600000000002,LOW
0,1,5,11,4,7.125,0,7,0.3636,5,7,4,0.0,0,3,0.5714,10,3.5625,Graduate,0.5397000000000001,MEDIUM
0,1,7,7,7,7.15,0,0,1.0,8,9,8,0.0,0,1,0.8889,1,3.575,Graduate,0.215308,LOW
0,1,15,15,11,5.727272727272728,0,4,0.7333,13,16,11,0.0,0,5,0.6875,9,2.8636,Dropout,0.4967696000000001,MEDIUM
0,1,5,9,5,6.142857142857143,0,4,0.5556,5,8,5,0.0,0,3,0.625,7,3.0714,Enrolled,0.44183839999999996,MEDIUM
0,1,7,8,7,7.348125,0,1,0.875,8,9,8,0.0,0,1,0.8889,2,3.6741,Graduate,0.23070960000000001,LOW
0,1,5,7,2,5.0,0,5,0.2857,5,6,4,0.0,0,2,0.6667,7,2.5,Dropout,0.473808,MEDIUM
0,1,6,9,6,6.666666666666667,0,3,0.6667,6,9,4,0.0,0,5,0.4444,8,3.3333,Graduate,0.5155727999999999,MEDIUM
0,1,6,7,6,7.857142857142857,0,1,0.8571,6,7,6,0.0,0,1,0.8571,2,3.9286,Graduate,0.22857760000000002,LOW
